rankings,contests,ani_num
2175,66,0
2176,16,-1
2177,12,0
2178,34,0
2179,60,-1
2180,51,0
2181,103,0
2182,5,4
2183,27,0
2184,58,1
2185,28,0
2186,78,2
2187,9,-1
2188,36,-1
2189,122,0
2190,130,0
2191,18,3
2192,85,2
2193,75,0
2194,50,3
2195,60,-1
2196,101,0
2197,56,0
2198,21,2
2199,25,0
2200,45,0
2201,68,-1
2202,28,-1
2203,74,3
2204,24,-1
2205,40,2
2206,47,-1
2207,14,0
2208,10,0
2209,64,0
2210,58,0
2211,55,3
2212,42,0
2213,45,2
2214,488,-1
2215,15,-1
2216,32,-1
2217,29,0
2218,30,-1
2219,7,0
2220,11,3
2221,8,0
2222,20,1
2223,14,0
2224,8,-1
2225,55,-1
2226,126,0
2227,23,-1
2228,27,-1
2229,64,0
2230,60,0
2231,4,-1
2232,23,1
2233,28,0
2234,12,-1
2235,16,-1
2236,22,0
2237,39,-1
2238,111,0
2239,11,3
2240,59,0
2241,21,0
2242,18,0
2243,26,0
2244,13,-1
2245,48,0
2246,7,0
2247,90,1
2248,23,0
2249,107,0
2250,11,1
2251,17,0
2252,10,0
2253,27,0
2254,195,0
2255,30,0
2256,34,4
2257,35,0
2258,12,0
2259,26,-1
2260,58,0
2261,36,0
2262,18,0
2263,21,-1
2264,12,0
2265,75,0
2266,19,-1
2267,76,-1
2268,14,3
2269,40,0
2270,56,-1
2271,10,-1
2272,20,0
2273,31,2
2274,37,-1
2275,9,-1
2276,27,2
2277,17,0
2278,33,2
2279,54,0
2280,75,0
2281,24,0
2282,63,-1
2283,178,0
2284,18,0
2285,40,0
2286,5,0
2287,30,1
2288,25,-1
2289,34,0
2290,16,2
2291,44,1
2292,38,-1
2293,98,0
2294,49,1
2295,58,0
2296,46,-1
2297,17,0
2298,133,3
2299,18,-1
2300,72,0
2301,87,0
2302,10,0
2303,223,0
2304,27,-1
2305,71,3
2306,31,-1
2307,17,0
2308,14,0
2309,9,2
2310,55,0
2311,12,0
2312,76,-1
2313,28,-1
2314,77,0
2315,37,0
2316,19,-1
2317,75,-1
2318,15,0
2319,35,3
2320,36,3
2321,148,0
2322,141,-1
2323,73,0
2324,47,0
2325,26,1
2326,28,-1
2327,57,0
2328,24,-1
2329,218,0
2330,8,-1
2331,31,-1
2332,4,-1
2333,34,1
2334,12,3
2335,300,0
2336,8,0
2337,85,2
2338,112,0
2339,62,3
2340,20,0
2341,187,-1
2342,88,0
2343,21,2
2344,38,3
2345,32,-1
2346,72,0
2347,32,1
2348,40,0
2349,13,-1
2350,34,-1
2351,13,0
2352,15,0
2353,78,0
